id,user_id,amount,status,created_at
1,355,59519.209342916205,pending,2023-01-01 00:00:00
2,377,97134.34028647488,pending,2023-01-01 01:00:00
3,21,56846.93551792757,,2023-01-01 02:00:00
4,411,26661.824850595858,pending,2023-01-01 03:00:00
5,145,41320.0109058996,shipped,2023-01-01 04:00:00
6,358,24972.708923338312,pending,2023-01-01 05:00:00
7,89,52143.81264413793,pending,2023-01-01 06:00:00
8,173,17576.8673360397,pending,2023-01-01 07:00:00
9,186,89474.22506874295,shipped,2023-01-01 08:00:00
10,96,65316.87727262224,pending,2023-01-01 09:00:00
11,387,74377.1775194668,delivered,2023-01-01 10:00:00
12,486,99660.81009392967,shipped,2023-01-01 11:00:00
13,252,64244.553400959536,delivered,2023-01-01 12:00:00
14,424,6928.148952357778,delivered,2023-01-01 13:00:00
15,323,70671.96034284637,shipped,2023-01-01 14:00:00
16,419,19961.794148987185,delivered,2023-01-01 15:00:00
17,370,61253.239500432945,,2023-01-01 16:00:00
18,46,62154.17415911859,delivered,2023-01-01 17:00:00
19,231,39263.38766473709,delivered,2023-01-01 18:00:00
20,94,16742.96398477068,,2023-01-01 19:00:00
21,210,55581.3695590614,delivered,2023-01-01 20:00:00
22,434,68981.65706535983,delivered,2023-01-01 21:00:00
23,143,29311.995974010748,pending,2023-01-01 22:00:00
24,398,30180.071231329686,delivered,2023-01-01 23:00:00
25,290,45422.41359227121,delivered,2023-01-02 00:00:00
26,455,50562.17874557395,,2023-01-02 01:00:00
27,73,97924.04911378746,shipped,2023-01-02 02:00:00
28,380,73296.21531690205,delivered,2023-01-02 03:00:00
29,295,41188.29960405149,shipped,2023-01-02 04:00:00
30,435,78692.49737986446,,2023-01-02 05:00:00
31,87,52673.94014506816,pending,2023-01-02 06:00:00
32,209,77232.71214200153,delivered,2023-01-02 07:00:00
33,397,71875.28368269965,,2023-01-02 08:00:00
34,305,78729.28586535064,,2023-01-02 09:00:00
35,163,31388.236550959424,shipped,2023-01-02 10:00:00
36,53,49363.79623133436,delivered,2023-01-02 11:00:00
37,426,56319.16345739905,,2023-01-02 12:00:00
38,47,44074.294746723266,delivered,2023-01-02 13:00:00
39,142,40751.330029142846,delivered,2023-01-02 14:00:00
40,314,44279.231675672396,shipped,2023-01-02 15:00:00
41,435,49509.88697503173,shipped,2023-01-02 16:00:00
42,139,62726.43982263284,delivered,2023-01-02 17:00:00
43,354,62110.43443859993,shipped,2023-01-02 18:00:00
44,428,19847.99094923434,pending,2023-01-02 19:00:00
45,290,85039.06063148142,delivered,2023-01-02 20:00:00
46,103,3935.0506790778104,shipped,2023-01-02 21:00:00
47,289,4958.839982095113,shipped,2023-01-02 22:00:00
48,158,56785.512816460636,delivered,2023-01-02 23:00:00
49,191,58635.92915304939,delivered,2023-01-03 00:00:00
50,229,58970.07323306924,shipped,2023-01-03 01:00:00
51,344,93895.0979269662,,2023-01-03 02:00:00
52,237,10565.682840543834,delivered,2023-01-03 03:00:00
53,33,89269.17870196994,delivered,2023-01-03 04:00:00
54,406,10470.070564589316,delivered,2023-01-03 05:00:00
55,285,88140.6880854706,,2023-01-03 06:00:00
56,411,13888.831332376936,delivered,2023-01-03 07:00:00
57,294,7039.336655996164,,2023-01-03 08:00:00
58,240,44992.59476361945,delivered,2023-01-03 09:00:00
59,138,66216.7345876761,shipped,2023-01-03 10:00:00
60,290,15944.019928854712,shipped,2023-01-03 11:00:00
61,48,28072.215386247113,,2023-01-03 12:00:00
62,145,82661.63741340511,pending,2023-01-03 13:00:00
63,109,5115.966301657389,,2023-01-03 14:00:00
64,355,41243.017884863875,delivered,2023-01-03 15:00:00
65,84,43143.414841270176,pending,2023-01-03 16:00:00
66,191,72502.10201577743,pending,2023-01-03 17:00:00
67,289,85045.20273060266,shipped,2023-01-03 18:00:00
68,128,75981.23595036894,delivered,2023-01-03 19:00:00
69,234,86660.51263167989,shipped,2023-01-03 20:00:00
70,428,48487.72813654968,,2023-01-03 21:00:00
71,23,38738.366685453984,shipped,2023-01-03 22:00:00
72,461,54440.06217472413,pending,2023-01-03 23:00:00
73,474,32633.23635121108,shipped,2023-01-04 00:00:00
74,412,9818.36380169723,shipped,2023-01-04 01:00:00
75,91,44068.42564622809,delivered,2023-01-04 02:00:00
76,306,79427.257174727,pending,2023-01-04 03:00:00
77,143,77738.36546810661,shipped,2023-01-04 04:00:00
78,354,40975.21743321862,pending,2023-01-04 05:00:00
79,278,62570.95591129896,,2023-01-04 06:00:00
80,154,15115.38939551468,shipped,2023-01-04 07:00:00
81,309,81162.22495464956,pending,2023-01-04 08:00:00
82,408,98586.71362385918,pending,2023-01-04 09:00:00
83,200,8082.21700351397,delivered,2023-01-04 10:00:00
84,274,40919.72156300412,pending,2023-01-04 11:00:00
85,344,41889.305252784536,delivered,2023-01-04 12:00:00
86,360,87334.99381112198,shipped,2023-01-04 13:00:00
87,328,49632.12532672088,pending,2023-01-04 14:00:00
88,26,94270.60066514077,pending,2023-01-04 15:00:00
89,36,4376.816075628449,shipped,2023-01-04 16:00:00
90,447,32308.37042247075,delivered,2023-01-04 17:00:00
91,442,12949.908076759548,delivered,2023-01-04 18:00:00
92,246,69773.90826573022,delivered,2023-01-04 19:00:00
93,317,74231.01520423041,,2023-01-04 20:00:00
94,418,19898.793883740076,,2023-01-04 21:00:00
95,250,36365.20773928655,delivered,2023-01-04 22:00:00
96,45,64375.10558146979,,2023-01-04 23:00:00
97,116,62396.252354781376,shipped,2023-01-05 00:00:00
98,332,9934.234694388191,shipped,2023-01-05 01:00:00
99,22,79191.93591830536,delivered,2023-01-05 02:00:00
100,304,10033.435351945804,shipped,2023-01-05 03:00:00
101,472,49146.48083778618,pending,2023-01-05 04:00:00
102,393,68792.70437201519,,2023-01-05 05:00:00
103,2,6139.990483556595,delivered,2023-01-05 06:00:00
104,379,15050.363311466579,shipped,2023-01-05 07:00:00
105,275,27103.17373543862,shipped,2023-01-05 08:00:00
106,27,44466.8194345529,,2023-01-05 09:00:00
107,471,47896.85233784797,shipped,2023-01-05 10:00:00
108,491,37853.59304810541,shipped,2023-01-05 11:00:00
109,346,8861.478016059904,pending,2023-01-05 12:00:00
110,431,91573.52213869241,pending,2023-01-05 13:00:00
111,61,40643.29854356231,,2023-01-05 14:00:00
112,285,79441.03685076472,delivered,2023-01-05 15:00:00
113,458,23727.06593719131,pending,2023-01-05 16:00:00
114,232,75753.85074501921,pending,2023-01-05 17:00:00
115,232,1308.5476897388876,,2023-01-05 18:00:00
116,485,19562.707915660132,pending,2023-01-05 19:00:00
117,268,44252.92191085396,,2023-01-05 20:00:00
118,181,82828.84049178523,shipped,2023-01-05 21:00:00
119,88,84239.14914729938,delivered,2023-01-05 22:00:00
120,315,82559.58166033316,pending,2023-01-05 23:00:00
121,46,81520.2725649282,,2023-01-06 00:00:00
122,360,12125.039768630199,shipped,2023-01-06 01:00:00
123,429,6808.843260096028,delivered,2023-01-06 02:00:00
124,323,57914.889696994556,delivered,2023-01-06 03:00:00
125,127,25230.25402139856,delivered,2023-01-06 04:00:00
126,215,42268.62615300374,shipped,2023-01-06 05:00:00
127,449,96797.94913719162,,2023-01-06 06:00:00
128,466,12249.23350361721,delivered,2023-01-06 07:00:00
129,439,11603.153095858494,shipped,2023-01-06 08:00:00
130,281,79369.2408754737,,2023-01-06 09:00:00
131,131,27295.477167577035,,2023-01-06 10:00:00
132,475,24000.33255725072,delivered,2023-01-06 11:00:00
133,444,6894.462917739419,,2023-01-06 12:00:00
134,293,79172.5078020088,pending,2023-01-06 13:00:00
135,463,71553.4341363987,delivered,2023-01-06 14:00:00
136,137,28594.606919841393,,2023-01-06 15:00:00
137,212,95425.56543663544,,2023-01-06 16:00:00
138,475,63322.43951452684,,2023-01-06 17:00:00
139,225,64142.46791964772,pending,2023-01-06 18:00:00
140,441,38886.69014543888,delivered,2023-01-06 19:00:00
141,17,35655.25330229665,delivered,2023-01-06 20:00:00
142,211,6423.850226309724,,2023-01-06 21:00:00
143,246,90978.78737709625,pending,2023-01-06 22:00:00
144,445,90792.76231207722,,2023-01-06 23:00:00
145,406,14899.291722346008,,2023-01-07 00:00:00
146,313,27621.278003879466,delivered,2023-01-07 01:00:00
147,431,9478.406937209214,delivered,2023-01-07 02:00:00
148,495,67138.61838308397,pending,2023-01-07 03:00:00
149,303,39557.83570628218,pending,2023-01-07 04:00:00
150,209,44612.0590505954,,2023-01-07 05:00:00
151,400,87331.53347156999,,2023-01-07 06:00:00
152,324,61825.033868340186,shipped,2023-01-07 07:00:00
153,116,18206.80457498795,pending,2023-01-07 08:00:00
154,331,12983.749337202526,delivered,2023-01-07 09:00:00
155,228,46649.35603276949,pending,2023-01-07 10:00:00
156,288,63304.442862614036,pending,2023-01-07 11:00:00
157,129,48508.991144356376,,2023-01-07 12:00:00
158,479,42847.86133794114,delivered,2023-01-07 13:00:00
159,469,61568.877869663826,pending,2023-01-07 14:00:00
160,478,41767.89353145889,delivered,2023-01-07 15:00:00
161,407,13090.711401249617,shipped,2023-01-07 16:00:00
162,335,43805.03968816299,delivered,2023-01-07 17:00:00
163,333,66135.08685770635,,2023-01-07 18:00:00
164,146,64668.08355821742,shipped,2023-01-07 19:00:00
165,306,50194.08823748489,pending,2023-01-07 20:00:00
166,99,72684.4716626183,shipped,2023-01-07 21:00:00
167,340,60579.96795449867,delivered,2023-01-07 22:00:00
168,77,56482.976841044496,pending,2023-01-07 23:00:00
169,398,97750.1563326479,shipped,2023-01-08 00:00:00
170,103,4568.589859620772,,2023-01-08 01:00:00
171,268,88867.69396837933,pending,2023-01-08 02:00:00
172,242,12698.40134390202,,2023-01-08 03:00:00
173,200,57856.59923394829,delivered,2023-01-08 04:00:00
174,351,80118.82865485725,delivered,2023-01-08 05:00:00
175,417,21843.08529008575,pending,2023-01-08 06:00:00
176,358,51692.273082080435,shipped,2023-01-08 07:00:00
177,421,72568.3274569827,delivered,2023-01-08 08:00:00
178,487,53994.536536516396,,2023-01-08 09:00:00
179,78,64905.10495457208,shipped,2023-01-08 10:00:00
180,160,63454.82232305851,pending,2023-01-08 11:00:00
181,355,3835.1298381105903,shipped,2023-01-08 12:00:00
182,20,1323.1471494767152,,2023-01-08 13:00:00
183,483,17176.809639723586,,2023-01-08 14:00:00
184,254,42255.61291804807,delivered,2023-01-08 15:00:00
185,44,92354.23165173277,,2023-01-08 16:00:00
186,123,72401.8701975562,,2023-01-08 17:00:00
187,52,8602.247481504772,pending,2023-01-08 18:00:00
188,260,71835.32966846439,pending,2023-01-08 19:00:00
189,76,19642.667500986412,pending,2023-01-08 20:00:00
190,396,18810.082484891795,,2023-01-08 21:00:00
191,246,82836.80376509717,pending,2023-01-08 22:00:00
192,4,71506.57697279523,delivered,2023-01-08 23:00:00
193,182,25065.459839821262,delivered,2023-01-09 00:00:00
194,253,4911.127730558024,pending,2023-01-09 01:00:00
195,324,48273.58934336743,pending,2023-01-09 02:00:00
196,205,78641.77944391158,shipped,2023-01-09 03:00:00
197,37,68128.06299761675,shipped,2023-01-09 04:00:00
198,54,25229.04588029609,,2023-01-09 05:00:00
199,411,16221.247684148238,delivered,2023-01-09 06:00:00
200,486,67521.39142512271,pending,2023-01-09 07:00:00
201,259,73905.60676649616,pending,2023-01-09 08:00:00
202,341,44214.04181314193,,2023-01-09 09:00:00
203,171,36620.964506360084,shipped,2023-01-09 10:00:00
204,84,76293.55116684646,delivered,2023-01-09 11:00:00
205,310,90114.73393603455,delivered,2023-01-09 12:00:00
206,111,80993.8301955486,,2023-01-09 13:00:00
